COMPOUND,SMILES,CIP Labels,Blue Book Ref,Stereogenic Units,Sequence Rules,Figure,Different from CIP Labels,Rdkit + Canonize.py,balloon + Canonize.py,
VS030,O=C(C1([C@H]([C@@H]([C@H](C1)Cl)Cl)Cl)C(=O)O)O,4R 5R 6S,P-93.5.1.3.1,TH,1a,,1,4R 5R 6S,4R 5R 6S,1
VS031,[Br-].C[N@+](C=1C=CC=CC1)(CC=2C=CC=CC2)CC=C,3R,P-93.2.2,TH,1a,,0,,,1
VS032,O[C@H](/C=N\C)C1=NC=CC=C1,2S 3Z 4Z,,"CT,TH",1a,Figure 3,0,2R 3Z 4Z,2R 3Z 4Z,1
VS033,O[C@H](/C=N\C)C=1N=CC=CC1,2S 3Z 4Z,,"CT,TH",1a,Figure 3,0,2R 3Z 4Z,2R 3Z 4Z,1
VS034,Br[C@H]1[C@H](C[C@H](CC1)Br)Br,2R 3S 5S,P-93.5.1.3.1,TH,1a,,1,2R 3S 5S,2R 3S 5S,1
VS035,O[C@@H]1CCCC[C@H]1[C@@H](F)Cl,2R 7R 8S,,TH,1a,,1,2R 7R 8S,2R 7R 8S,1
VS036,N(=N\C1=CC=CC=C1)\C2=CC=CC=C2,1Z 2Z,P-93.4.2.1.3,CT,1a,,0,,,1
VS037,C1=CC2=C([C@@]13N=CCO3)C=CC=C2,5R,P-93.5.3.1,TH,1a,,0,1Z 2Z 5R 6Z 7Z,1Z 2Z 5R 6Z 7Z,1
VS038,CC(C)O[P@](C)(F)=O,5R,,TH,1a,,0,,,1
VS039,CC(C)O[P@@](C)(F)=O,5S,,TH,1a,,0,,,1
VS040,CC1(OC2=C(C=3NC[C@@]4(C3C=C2)C([C@@H]5C[C@@]67C(N([C@]5(C4)CN6CC[C@@]7(C)O)C)=O)(C)C)OC=C1)C,9R 14S 16R 19S 25R,P-93.5.3.1,TH,1a,,0,7S 9S 14R 16R 18R 19S 22S 25R 33Z 34Z,7R 9S 14R 16R 18R 19S 22S 25R 33Z 34Z,0
VS041,C/C(=C/1\C=2C(=CC=CC2)C=C1)/CC,2E 3E,P-93.5.1.4.2.1,CT,1a,,0,2E 3E 10Z 11Z,2E 3E 10Z 11Z,1
VS042,CC1=C(C=CC=C1)/N=N/P(=O)([O-])OC,8E 9E,,CT,1a,,0,,,1
VS043,C[C@]12C[C@@H](CCC1)CCCCCCCC2,2R 4R,P-93.5.2.1,TH,1a,,1,2R 4R,2R 4R,1
VS044,COP(=O)(/N=N/C1=CC(=CC=C1)F)[O-],5E 6E,,CT,1a,,0,,,1
VS045,CC[N@@+](C=1C=CC=CC1)([O-])C,3S,P-93.2.3,TH,1a,,1,3S,3S,1
VS046,O=C([C@]1([C@@H](CCC1)Cl)Cl)O,3R 4R,P-93.5.1.3.2,TH,1a,,1,3R 4R,3R 4R,1
VS047,O=C(O)[C@H]([C@H](C)Cl)O,4R 5S,P-93.4.1.2,TH,1a,,1,4R 5S,4R 5S,1
VS048,O=C(O)[C@@H]([C@H](C)Cl)O,4S 5S,"P-91.3, P-93.4.1.2",TH,1a,,1,4S 5S,4S 5S,1
VS049,O=S(/C=C(\C=C\C(=O)O)/C(=C/C)/Cl)(=O)O,3E 4E 5E 6E 10Z 11Z,P-93.4.2.1.2,CT,1a,,0,3Z 4Z 5E 6E 10Z 11Z,3E 4E 5E 6E 10Z 11Z,0
VS050,C1[C@H]2[C@@H](C[C@H]3[C@@H]1CCCC3)CCCC2,2S 3R 5S 6R,"P-93.5.4.1, P-93.5.4.2",TH,1a,,1,2S 3R 5S 6R,2S 3R 5S 6S,0
VS051,CC1=C2CC[C@](OC2=C(C(=C1O)C)C)(CCC[C@@H](CCC[C@@H](CCCC(C)C)C)C)C,6R 18R 22R,P-93.1.4,TH,1a,,1,6R 18R 22R,6R 18R 22R,1
VS052,O[C@@H]1C[C@@]2(CC[C@@]1(O)C)C(CCCC2(C)C)=O,2R 4R 7S,P-93.5.3.1,TH,1a,,0,2R 4S 7S,2R 4S 7S,1
VS053,C/C=C/C=C/CC(OC[C@H](OC(C/C=C/C=C/C)=O)CO)=O,2E 3E 4E 5E 10R 14E 15E 16E 17E,P-93.4.2.4,"CT,TH",1a,,1,2E 3E 4E 5E 10R 14E 15E 16E 17E,2E 3E 4E 5E 10R 14E 15E 16E 17E,1
VS054,[Br-].OC=1C=CC([P@+]2(CCC3=CC=CC=C3C2)C4=CC=CC=C4)=CC1,7S,P-93.2.2,TH,1a,,0,,,1
VS055,BrC=1C(=C(C=CC1)C(=O)O)C=2C(=CC=CC2Br)C(=O)O,3P 11P,,AT,1a,,0,,,1
VS056,O=C(O[C@@H]1[C@@H](SC2=C(N(C1=O)CCN(C)C)C=CC=C2)C3=CC=C(C=C3)OC)C,4S 5S,P-93.5.4.1,TH,1a,,0,4S 5S 9S,4S 5S 9S,1
VS057,[O-][N+](C=1C(=C(C=CC1)C(=O)O)C2=C(C=CC=C2[N+]([O-])=O)C(=O)O)=O,4M 12M,P-93.5.7.1,AT,1a,,0,,,1
VS058,CC/C=C\C=C\CC,3Z 4Z 5E 6E,P-93.4.2.1.2,CT,1a,,1,3Z 4Z 5E 6E,3Z 4Z 5E 6E,1
VS059,C[N@+](CCC)(CC)C=1C=CC=CC1,2R,,TH,1a,,0,2S,2S,1
VS060,C/C=C\C,2Z 3Z,"P-90, P-91.3, P-93.4.2.1.1",CT,1a,,1,2Z 3Z,2Z 3Z,1
VS061,C/C=C/C,2E 3E,P-93.4.2.1.1,CT,1a,,1,2E 3E,2E 3E,1
VS062,C1[C@@]/2(CC=C1)CCCCC/C=C2,11Z 12Z,P-93.5.3.3,"CT,TH",1a,,0,4Z 5Z 11Z 12Z,4Z 5Z 11Z 12Z,1
VS063,O[C@H]/1CCCCCCCCCCCCCCCCCCCCCCC[C@H]2CC1=C=C=C/CCCCCCCCCCCCCCCCC2,2S 26R 28E 31E,P-93.5.2.3,"CT4,TH",1a,,0,2S 26S 28E 29E 30E 31E ,2S 26S 28E 29E 30E 31E ,1
VS064,CC[C@H](C1CC1)Cl,3R,P-92.2.1.3,TH,1a,,1,3R,3R,1
VS065,C1[C@@H]2[C@@H](N[C@H]3[C@@H]1CCCC3)CCCC2,2R 3S 5R 6R,P-93.5.4.2,TH,1a,,0,2R 3S 4R 5R 6R,2R 3S 4S 5R 6R,0
VS066,C[C@@H]([C@H](C)Br)O,2S 3S,P-93.1.1,TH,1a,,1,2S 3S,2S 3S,1
VS067,C[C@H]([C@@H](C)Br)O,2R 3R,P-93.1.2.1,TH,1a,,1,2R 3R,2R 3R,1
VS068,[Na+].S=[P@@]([O-])(C)OC(C)C,3R,P-93.2.4,TH,1a,,0,,,1
VS069,C=1[C@H]2CC[C@@H](C1)C2,2S 5R,P-93.5.2.3,TH,1a,,0,1Z 2S 5R 6Z,1Z 2S 5R 6Z,1
VS070,C[C@]12[C@@H]3[C@](CC[C@@H]1O)(OC2=O)[C@H]4[C@@]5([C@H]3C(=O)O)C[C@@](CC4)(C(C5)=C)O,2S 3R 4R 7S 12R 13S 14S 19S,,TH,1a,,0,2S 3R 4R 7S 12R 13R 14R 19S,2S 3R 4R 7S 12R 13R 14R 19S,1
VS071,O=[P@@](C=1C=CC=CC1)(C)CCC,2S,P-93.2.3,TH,1a,,0,,,1
VS072,OC=1C(C=2C(=CC=C3C2C=CC=C3)OC(=O)[C@H]4CC4(C)C)=C5C=CC=CC5=CC1,3M 4M 17S,P-93.5.7.1,"AT,TH",1a,,0,17S,17S,1
VS073,NC=1C(C=2C(=CC=CC2N)OC)=C(C=CC1)C(=O)O,3M 4M,,AT,1a,,0,,,1
VS074,C[S@](=O)C=1C=CC=CC1,2S,P-93.3.4.1,TH,1a,,0,,,1
VS075,O[C@@H]1[C@H]2C[C@H](C[C@@H]([C@H](CC1)OC)O2)I,2S 3R 5R 7S 8S,P-93.5.2.1,TH,1a,,1,2S 3R 5R 7S 8S,2S 3R 5R 7S 8S,1
VS076,Cl[C@@H](O)C,2R,,TH,1a,,1,2R,2R,1
VS077,Cl[C@H](O)C,2S,,TH,1a,,1,2S,2S,1
VS078,C1CCCCCCCCCCCCCCCCCCCC[C@@H]2CCCCCCCCCCCCCCCCCCCC(=[C@]=C1)C2,22R 42P 44P,P-93.5.2.3,"TH,TH3",1a,,0,22R 42E 43E 44E,22R 42E 43E 44E,1
VS079,ClC=[C@]=CCl,2M 4M,P-93.4.2,TH3,1a,,0,,,1
VS080,C[C@H]1[C@H](CCCC1)C,2R 3S,P-92.2.1.3,TH,1a,,1,2R 3S,2R 3S,1
VS081,C#CCN1[C@@H](CCCC1)C2=CN=CC=C2,5S,,TH,1a,,0,4R 5S,4S 5S,0
VS082,C[C@@]12CC3=C(C[C@H]1CCCC2)C=CC=C3,2R 7R,P-93.5.4.1,TH,1a,,1,2R 7R,2R 7R,1
VS083,O[C@@H](C(CCC1C=C1)(CCC2C=C2)CCC3C=C3)[C@@]45C=C[C@@H](C=C4)C=C5,2S,,TH,1a,,0,2R 7Z 8Z 12Z 13Z 17Z 18Z 20Z 21Z 23Z 24Z 25Z 26Z ,2R 7Z 8Z 12Z 13Z 17Z 18Z 20Z 21Z 23Z 24Z 25Z 26Z ,1
VS084,O1[C@@H]2[C@@H]3CO[C@H]([C@@H]21)O3,2R 3S 6S 7R,P-93.5.2.1,TH,1a,,0,2S 3S 6S 7R,2S 3S 6S 7R,1
VS085,ClC=1\C(\C=C2C1C=CC=C2)=C\C,3E 11E,P-93.5.1.4.2.1,CT,1a,,0,2E 3E 4Z 5Z 6E 11E ,2E 3E 4Z 5Z 6E 11E ,1
VS086,[O-][N+](C1=C(C=2C(=CC=C(C2)OC)OC)C(=CC=C1)C(=O)O)=O,4P 5P,P-93.5.7.1,AT,1a,,0,,,1
VS087,C[C@@H](C=1C=CC(\C=C\O/C=C/C=2C=CC(=CC2)[C@H](C)C(=O)O)=CC1)C(=O)O,2S 7E 8E 10E 11E 18S,P-93.6,"CT,TH",1a,,0,2S 7E 8E 10E 11E 18S ,2S 7E 8E 10E 11E 18S ,1
VS088,C[C@@H](C=1C=CC(/C=C\O/C=C/C=2C=CC(=CC2)[C@H](C)C(=O)O)=CC1)C(=O)O,2S 7Z 8Z 10E 11E 18S,,"CT,TH",1a,,0,2S 7Z 8Z 10E 11E 18S ,2S 7Z 8Z 10E 11E 18S ,1
VS089,COC[C@H]1CO1,4R,,TH,1a,,0,4S,4S,1
VS090,C[C@H](C=C)O,2R,P-92.1.4.2,TH,1a,,1,2R,2R,1
VS091,C[C@@]12CCC[C@]3([C@@]14[C@@]5([C@@]6(CC2)CCC[C@]5(CC3)S6)O4)O,2S 6S 7R 8S 9S 15R,,TH,1a,,0,2S 6S 7R 8S 9R 15R ,2S 6S 7R 8S 9R 15R ,1
VS092,O[C@H](CO)C=O,2R,P-92.2.1.2,TH,1a,,0,2S,2S,1
VS093,C1CCCC/C=C\C=C\C1,6Z 7Z 8E 9E,P-93.5.1.4.1,CT,1a,,0,6Z 7Z 8Z 9Z,6Z 7Z 8E 9E,0
VS094,Cl[C@@H](C=1C=CC=CC1)CC,2R,P-91.3,TH,1a,,1,2R,2R,1
VS095,[Cl-].OC=1C=CC([P@+]2(CCC3=CC=CC=C3C2)C=4C=CC=CC4)=CC1,7S,P-93.5.4.1,TH,1a,,0,,,1
VS096,O/N=C(\C1=CC=C(C=C1)Cl)/C2=CC=CC=C2,2Z 3Z,P-93.4.2.1.3,CT,1a,,1,2Z 3Z,2Z 3Z,1
VS097,O=C1N=C([N-]C=2C=CC=CC2)[C@H](C(N1)=O)C#N,12R,,TH,1a,,0,3E 4E 12R 14R,3E 4E 12R 14R,1
VS098,O[C@H]1[C@@H](CC[C@H](C1)C)C(C)C,2R 3S 6R,P-93.5.1.1.1,TH,1a,,1,2R 3S 6R,2R 3S 6R,1
VS099,CC([C@@H](O)C1CC1)C,3R,P-92.1.4.3,TH,1a,,1,3R,3R,1
VS100,C/C=C\C=C\CCC,2Z 3Z 4E 5E,P-93.4.2.1.2,CT,1a,,1,2Z 3Z 4E 5E,2Z 3Z 4E 5E,1
VS101,C/C=C/1\C/C(/CC1)=C/C,2Z 3Z 5E 8E,P-93.5.1.4.2.1,CT,1a,,1,2Z 3Z 5E 8E,2Z 3Z 5E 8E,1
VS102,Cl[C@H]1C[C@@H](C[C@@H](C1)[N+]([O-])=O)O[C@H](CC)C,2R 4R 6S 12S,P-93.1.2.2,TH,1a,,1,2R 4R 6S 12S,2R 4R 6S 12S,1
VS103,O=C([C@H]([C@H]([C@@H]([C@@H]([C@@H](C(O)=O)Cl)Cl)Cl)Cl)Cl)O,3R 4R 6R 7R,P-93.4.1.2,TH,1a,,1,3R 4R 6R 7R,3R 4R 6R 7R,1
VS104,C[Si@H](CCC)O,2R,P-93.2.6,TH,1a,,1,2R,2R,1
VS105,FC[C@H]([C@@H]([C@H]([C@@H]([C@H](CF)F)CCBr)O)CCI)F,3S 4R 5S 6S 7R,P-92.2.1.1.3,TH,1a,,1,3S 4R 5S 6S 7R,3S 4R 5S 6S 7R,1
VS106,N1CC[C@@H]2[C@@H]1CCCC2,4R 5S,P-93.5.4.1,TH,1a,,0,1R 4R 5S,1S 4R 5S,0
VS107,C\C=C(/C(=C\C=C\C)/CC(=O)O)\Cl,2E 3E 4Z 5Z 6E 7E,P-93.4.2.1.2,CT,1a,,1,2E 3E 4Z 5Z 6E 7E,2E 3E 4Z 5Z 6E 7E,1
VS108,C[C@H]1[C@@H](C[C@@H](C1)C)C,2R 3R,P-93.5.1.1.1,TH,1a,,1,2R 3R,2R 3R,1
VS109,C=C[C@H](C=O)O,3R,P-92.2.1.2,TH,1a,,1,3R,3S,0
VS110,ClC1=CC=C(C=C1)/C(=C/C2=CC=CC=C2)/C3=CC=CC=C3,8E 9E,P-93.4.2.1.1,CT,1a,,1,8E 9E,8E 9E,1
VS111,F[C@H]1[C@@H]2C[C@H]([C@H]1CC2)Br,2S 3S 5R 6S,P-93.5.2.2.1,TH,1a,,1,2S 3S 5R 6S,2S 3S 5R 6S,1
VS112,O=C([C@@H]1[C@@H](CCC1)Cl)O,3R 4R,"P-93.1.1, P-93.5.1.1.1",TH,1a,,1,3R 4R,3R 4R,1
VS113,Cl[C@@H]1[C@H](CCC1)C(=O)O,2S 3R,P-93.1.2.1,TH,1a,,1,2S 3R,2S 3R,1
VS114,N#C/C(=C(\Br)/I)/Br,3Z 4Z,P-93.4.2.1.1,CT,1a,,1,3Z 4Z,3Z 4Z,1
VS115,FC[C@H]([C@@H]([C@H]([C@@H]([C@H](CCl)F)CCBr)O)CCI)F,3S 4R 5R 6S 7R,P-92.2.1.1.3,TH,1a,,1,3S 4R 5R 6S 7R,3S 4R 5R 6S 7R,1
VS116,Br[C@]1(C[C@@](CCC1)(CC)C)Cl,2R 4R,P-93.5.1.3.2,TH,1a,,1,2R 4R,2R 4R,1
VS117,I/C(=C(/Cl)\Br)/Br,2Z 3Z,P-93.4.2.1.1,CT,1a,,1,2Z 3Z,2Z 3Z,1
VS118,Br\C=C=C=C\Cl,2E 5E,,CT4,1a,,0,2E 3E 4E 5E,2E 3E 4E 5E,1
VS119,C[C@H]([C@@](C)(Cl)[2H])Cl,2R 3R,P-93.4.1.2,TH,1a,,1,2R 3R,2R 3R,1
VS120,O=C([C@@H]1CCCCCCCCCCCCCCCCCCCCCC[C@@H]2CCCCCCCCCCCCCCCCCC=[C@]=C1C2)O,3R 26R 44P 46P,P-93.5.2.3,"TH,TH3",1a,,0,3R 26S 44E 45E 46E ,3R 26S 44E 45E 46E ,1
VS121,Cl\C\1=C\CCCCCCCCCC1,2E 3E,P-91.3,CT,1a,,1,2E 3E,2E 3E,1
VS122,O=[P@@](C=1C=CC=CC1)(C)OC,2S,P-93.2.4,TH,1a,,0,,,1
VS123,O[C@H](C1CCC1)C2CC2,2S,P-92.2.1.3,TH,1a,,0,2R,2R,1
VS124,C[C@@H](C=1C2=C(C=C(C1)CCC=3C=CC(=CC3)CC2)[C@@H](C)Br)Br,2S 19R,P-92.6,TH,1a,,0,2S 19S,2S 19R,0
VS125,O=C(C1=CC=NC=C1)N/N=C\2/[C@@H]3[C@@H](C2)C=CC3,10E 11E 12S 13S,,"CT,TH",1a,,0,9S 10E 11E 12S 13R 15Z 16Z,9R 10E 11E 12S 13R 15Z 16Z ,0
VS126,O=C([C@H]1C[C@H]([C@@H](OC=2C=CC(/C=C\O/C=C/C=3C=CC(=CC3)O[C@H]4[C@H](C[C@H](CC4)C(=O)O)O/C=C/C=5C=CC=CC5)=CC2)CC1)O/C=C/C=6C=CC=CC6)O,3R 5R 6S 12Z 13Z 15E 16E 24R 25S 27S 34E 35E 47E 48E,P-93.6,"CT,TH",1a,,0,3R 5R 6S 12Z 13Z 15E 16E 24R 25S 27S 34E 35E 47E 48E ,3R 5R 6S 12Z 13Z 15E 16E 24R 25S 27S 34E 35E 47E 48E ,1
VS127,O=C([C@@H]1C[C@@H]([C@H](OC=2C=CC(\C=C\O/C=C/C=3C=CC(=CC3)O[C@@H]4[C@@H](C[C@@H](CC4)C(=O)O)O/C=C/C=5C=CC=CC5)=CC2)CC1)O/C=C/C=6C=CC=CC6)O,3S 5S 6R 12E 13E 15E 16E 24S 25R 27R 34E 35E 47E 48E,P-93.6,"CT,TH",1a,,0,3S 5S 6R 12E 13E 15E 16E 24S 25R 27R 34E 35E 47E 48E ,3S 5S 6R 12E 13E 15E 16E 24S 25R 27R 34E 35E 47E 48E ,1
VS128,C[C@H]1C[C@@H]2C[C@H](C)[N@]1[C@@H](C)C2,2S 6S 9S,,TH,1a,,1,2S 6S 9S,,0
VS129,C[C@@H]1C[C@H]2C[C@@H](C)[N@@]1[C@H](C)C2,2R 6R 9R,,TH,1a,,1,2R 6R 9R,,0
VS130,O=[S@@](=S)(C=1C=CC=CC1)OC,2S,P-93.2.5,TH,1a,,0,,,1
VS131,C1[C@@]2(CC[C@@]13OCCC3)CCCO2,2S 5R,P-93.5.3.1,TH,1a,,1,2S 5R,2S 5R,1
VS132,CC=1C=CC=2[N@@]3CC=4C=C(C=CC4[N@](CC2C1)C3)C,6S 14S,P-93.5.4.1,TH,1a,,1,6S 14S,,0
VS133,C#CCOC[C@H]1OC1,6S,,TH,1a,,0,6R,6R,1
VS134,O[C@@H]1C=CC2=CC3=CC4=C5C6=C(C=CC7=C6C8=C(C=C7)C=C9CC%10=CC=CC%11=C%10C%12=C9C8=C5C3=C%12C2=C1%11)C=C4,2R,,TH,1a,,0,2R 3Z 4Z,2R 3Z 4Z,1
VS135,C/C=C=C=C\C,2Z 5Z,P-93.4.2.3,CT4,1a,,0,2E 3E 4E 5E,2E 3E 4E 5E,1
VS136,O=C(O[C@@H](C)CC)CC[C@@H](CC)Cl,4S 10R,P-91.3,TH,1a,,1,4S 10R,4S 10R,1
VS137,C/C=C(/C)\C(=O)O,2Z 3Z,P-93.4.2.1.1,CT,1a,,1,2Z 3Z,2Z 3Z,1
VS138,C[P@@](C=1C=CC=CC1)CCC,2R,P-93.3.4.1,TH,1a,,0,2S,,0
VS139,CC[C@@H](C)Br,3R,P-93.1.3,TH,1a,,1,3R,3R,1
VS140,C1/C=C/CCCCC1,2E 3E,P-93.5.1.4.1,CT,1a,,0,2Z 3Z,2E 3E,0
VS141,C/C=C\C=C=[C@@]=C=CO,2Z 3Z 4P 8P,P-93.4.2,"TH5,CT",1a,,0,2Z 3Z 4E 5E 7E 8E,2Z 3Z 4E 5E 7E 8E,1
VS142,O[C@@H](C1CC1)C=O,2S,P-92.2.1.3,TH,1a,,1,2S,2S,1
VS143,Cl[C@]12CCCC[C@@]1(CC[C@@H](C2)F)O,2S 7S 10S,,TH,1a,,1,2S 7S 10S,2S 7S 10S,1
VS144,NC(=[C@]=C(C)O)Br,2P 4P,,TH3,1a,,0,2E 3E 4E,2E 3E 4E,1
VS145,C=C[C@@H](CC)O,3R,"P-91.3, P-92.2.1.2",TH,1a,,0,3S,3S,1
VS146,CCCCC/C=C\C[C@H](/C=C/C=C/C=C\[C@H](CCCC(O)=O)O)O,6Z 7Z 9R 10E 11E 12E 13E 14Z 15Z 16S,P-93.4.2.4,"CT,TH",1a,,0,6Z 7Z 9S 10E 11E 12E 13E 14Z 15Z 16R,6Z 7Z 9S 10E 11E 12E 13E 14Z 15Z 16R,1
VS147,O=[S@](CC)C,2S,P-93.3.4.1,TH,1a,,0,,,1
VS148,O=C(\C=C\C(=O)O)O,3E 4E,P-93.4.2.1.1,CT,1a,,1,3E 4E,3E 4E,1
VS149,C[C@H](CO)Cl,2R,P-92.2.1.1.2,TH,1a,,1,2R,2R,1
VS150,C[C@]12CCCC[C@@H]1CCOC2,2S 7R,,TH,1a,,1,2S 7R,2S 7R,1
VS151,C=C[C@H](C#N)O,3R,P-92.2.1.2,TH,1a,,1,3R,3R,1
VS152,O[C@@]12C[C@]3(C[C@@](C1)(C[C@H](C3)C2)Br)N,2S 4R 6R 9R,P-93.5.2.1,TH,1a,,1,2S 4R 6R 9R,2S 4R 6R 9R,1
VS153,C/C=C\C=C\C(=O)O,2Z 3Z 4E 5E,P-93.4.2.1.2,CT,1a,,1,2Z 3Z 4E 5E,2Z 3Z 4E 5E,1
VS154,C/C=C=C=C/C=C/C,2E 5E 6E 7E,P-93.4.2.3,"CT,CT4",1a,,0,2E 3E 4E 5E 6E 7E,2E 3E 4E 5E 6E 7E,1
VS155,O=C(C1=C/2C=CC(=C1)/C=C\C=3C(=CC(/C=C2)=CC3)Br)O,9Z 10Z 15Z 16Z,P-93.5.5.1,CT,1a,,0,9E 10E 15E 16E,9Z 10Z 15Z 16Z,0
VS156,C[C@H](OC)SC,2R,P-92.2.1.1.1,TH,1a,,1,2R,2R,1
VS157,C[C@@](C=1C=CC(\C=C\O/C=C/C=2C=CC(=CC2)[C@H](C)C(=O)O)=CC1)(C(=O)O)Br,2R 7E 8E 10E 11E 18S,P-93.6,"CT,TH",1a,,0,2R 7E 8E 10E 11E 18S ,2R 7E 8E 10E 11E 18S ,1
VS158,OC=1C(=C(C=C(C1)C)C)C2=C3C=CC=CC3=CC=C2CO,3P 10P,P-93.5.7.1,AT,1a,,0,,,1
VS159,C[C@@H]1[C@@H]2C[C@]([C@H]1C=C2)(C)Br,2R 3R 5S 6S,P-93.5.2.2.1,TH,1a,,0,2R 3R 5S 6S 7Z 8Z,2R 3R 5S 6S 7Z 8Z,1
VS160,O=C(OC[C@H]1C[C@@H]2C[C@H]1C=C2)CCl,5S 7S 9S,,TH,1a,,0,5S 7S 9R 10Z 11Z,5S 7S 9R 10Z 11Z,1
VS161,C/C=C\CC[C@H](C)Cl,2Z 3Z 6S,P-91.3,"CT,TH",1a,,1,2Z 3Z 6S,2Z 3Z 6S,1
VS162,Cl[C@H](Br)F,2R,"P-91.3, P-92.2.1.1.1",TH,1a,,1,2R,2R,1
VS163,C[C@@H]([C@H](CO)Cl)Cl,2S 3S,P-92.2.1.1.2,TH,1a,,1,2S 3S,2S 3S,1
